Station Name,Station Name (File),Climate Division,Latitude,Longitude,Avg T-Max,Avg T-Min,T-Avg,T-Avg DFN,Highest T-Max,Lowest T-Min,HDD,HDD DFN,CDD,CDD DFN,Total P,Normal P,P-DFN,1-Day Max,P-Max Date,P-Days,Missing T-Avg,Missing Total P
ALEXANDRIA,ALEXANDRIA,LA05,-92.4611,31.3205,80.0,58.0,69.0,-2.35,80.0,57.0,0.0,-1.0,9.0,-5.0,2.0,0.31,1.69,2.0,2025-05-07,1.0,0,0
ALEXANDRIA 5 SSE,ALEXANDRIA 5 SSE,LA05,-92.44849,31.24838,78.0,63.5,70.75,-1.2,79.0,61.0,0.0,-1.0,12.0,-3.0,3.95,0.29,3.66,3.95,2025-05-07,1.0,0,0
ALEXANDRIA ESLER FIELD,ALEXANDRIA ESLER FIELD,LA05,-92.28278,31.3963,83.0,59.0,71.0,0.05,86.0,57.0,0.0,-1.0,13.0,-0.0,0.03,0.27,-0.24000000000000002,0.03,2025-05-07,1.0,0,0
ARNAUDVILLE 4.7 NW,ARNAUDVILLE 4.7 NW,LA05,-91.9782,30.4561,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,5.86,-999.0,1004.86,5.31,2025-05-07,2.0,2,0
BEAVER FIRE TOWER,BEAVER FIRE TOWER,LA05,-92.49707,30.7904,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,3.74,0.32,3.4200000000000004,3.74,2025-05-07,1.0,2,0
BOYCE 3 WNW,BOYCE 3 WNW,LA05,-92.71665,31.39511,79.5,61.5,70.5,0.25,82.0,61.0,0.0,-1.0,12.0,0.0,0.01,0.27,-0.26,0.01,2025-05-07,1.0,0,0
BUNKIE,BUNKIE,LA05,-92.1786,30.9594,79.0,62.5,70.75,-2.05,79.0,60.0,0.0,-1.0,12.0,-4.0,3.61,0.35,3.26,3.45,2025-05-07,2.0,0,0
COLFAX 7.2 NW,COLFAX 7.2 NW,LA05,-92.78374,31.5989,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,2.6,-999.0,1001.6,2.6,2025-05-07,1.0,2,0
EUNICE 7.1 NW,EUNICE 7.1 NW,LA05,-92.4977,30.568,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,4.9,-999.0,1003.9,4.9,2025-05-07,1.0,2,0
FSA-FERRIDAY 1.0 WSW,FSA-FERRIDAY 1.0 WSW,LA05,-91.57052,31.62955,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,5.21,-999.0,1004.21,5.21,2025-05-07,1.0,2,0
FSA-OPELOUSAS 1.0 ESE,FSA-OPELOUSAS 1.0 ESE,LA05,-92.06701,30.52184,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,0.32,-999.0,999.32,0.32,2025-05-08,1.0,2,1
GRAND COTEAU 2.7 E,GRAND COTEAU 2.7 E,LA05,-91.99863,30.4197,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,6.64,0.37,6.27,6.05,2025-05-07,2.0,2,0
HESSMER 2.5 WSW,HESSMER 2.5 WSW,LA05,-92.16186,31.04516,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,4.6,-999.0,1003.6,4.54,2025-05-07,2.0,2,0
JENA,JENA,LA05,-92.1288,31.6782,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,0.3,-999.3,-999.0,M,-999.0,2,2
JONESVILLE LOCKS,JONESVILLE LOCKS,LA05,-91.8627,31.4825,83.0,60.5,71.75,1.3,85.0,60.0,0.0,-1.0,14.0,2.0,5.36,0.33,5.03,5.36,2025-05-07,1.0,0,0
MARKSVILLE,MARKSVILLE,LA05,-92.06449,31.12848,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,3.97,0.32,3.6500000000000004,3.97,2025-05-07,1.0,2,0
PINEVILLE 0.4 NNW,PINEVILLE 0.4 NNW,LA05,-92.41835,31.3363,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,2.0,-999.0,1001.0,1.99,2025-05-07,2.0,2,0
RED RIVER LOCK #1,RED RIVER LOCK #1,LA05,-91.95989,31.25443,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,4.5,0.3,4.2,4.5,2025-05-07,1.0,2,0
RED RIVER LOCK # 2,RED RIVER LOCK # 2,LA05,-92.2905,31.1872,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,3.75,0.3,3.45,3.75,2025-05-07,1.0,2,0
TROUT 4.4 WSW,TROUT 4.4 WSW,LA05,-92.2555,31.67579,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,3.14,-999.0,1002.14,3.14,2025-05-07,1.0,2,0
VILLE PLATTE,VILLE PLATTE,LA05,-92.2665,30.6951,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,4.85,0.38,4.47,4.5,2025-05-07,2.0,2,0
BAKER,BAKER,LA06,-91.1633,30.5669,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,2.0,0.42,1.58,2.0,2025-05-07,1.0,2,0
BATON ROUGE METRO AP,BATON ROUGE METRO AP,LA06,-91.14681,30.53782,83.5,62.0,72.75,-0.6,88.0,60.0,0.0,-0.0,16.0,-1.0,1.36,0.35,1.0100000000000002,1.36,2025-05-07,1.0,0,0
BATON ROUGE SHERWOOD,BATON ROUGE SHERWOOD,LA06,-91.0477,30.4494,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,2.94,0.41,2.53,2.75,2025-05-07,2.0,2,0
BATON ROUGE 0.5 ESE,BATON ROUGE 0.5 ESE,LA06,-91.11882,30.44638,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,2.95,-999.0,1001.95,2.56,2025-05-07,2.0,2,0
BATON ROUGE 3.5 E,BATON ROUGE 3.5 E,LA06,-91.06854,30.43927,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,3.04,-999.0,1002.04,2.75,2025-05-07,2.0,2,0
BATON ROUGE 6.2 SSE,BATON ROUGE 6.2 SSE,LA06,-91.08004,30.36857,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,3.48,-999.0,1002.48,3.19,2025-05-07,2.0,2,0
CENTRAL 2.2 SE,CENTRAL 2.2 SE,LA06,-91.00503,30.54407,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,2.95,0.4,2.5500000000000003,2.69,2025-05-07,2.0,2,0
CLINTON 0.2 NNW,CLINTON 0.2 NNW,LA06,-91.01631,30.86395,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,3.15,-999.0,1002.15,3.15,2025-05-07,1.0,2,0
COVINGTON 8 WNW,COVINGTON 8 WNW,LA06,-90.21471,30.52681,78.0,62.0,70.0,-1.6,80.0,60.0,0.0,-1.0,10.0,-4.0,3.96,0.34,3.62,3.18,2025-05-07,2.0,0,0
ABITA RIVER COVINGTON,ABITA RIVER COVINGTON,LA06,-90.0975,30.4586,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,4.43,0.39,4.04,3.85,2025-05-07,2.0,2,0
DENHAM SPRINGS 6.8 N,DENHAM SPRINGS 6.8 N,LA06,-90.96987,30.57709,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,3.02,0.4,2.62,2.7,2025-05-07,2.0,2,0
FSA-AMITE CITY 0.8 SW,FSA-AMITE CITY 0.8 SW,LA06,-90.52067,30.72602,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,3.29,-999.0,1002.29,3.29,2025-05-07,1.0,2,1
FSA-FRANKLINTON 0.6 WSW,FSA-FRANKLINTON 0.6 WSW,LA06,-90.15325,30.84705,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,3.46,-999.0,1002.46,3.21,2025-05-07,2.0,2,0
JACKSON 3.6 NNE,JACKSON 3.6 NNE,LA06,-91.18922,30.88248,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,2.52,-999.0,1001.52,2.39,2025-05-07,2.0,2,0
LACOMBE 1.4 N,LACOMBE 1.4 N,LA06,-89.9313,30.3282,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,3.33,0.33,3.0,2.69,2025-05-07,2.0,2,0
LIVINGSTON,LIVINGSTON,LA06,-90.7544,30.5197,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,4.31,0.41,3.8999999999999995,2.77,2025-05-07,2.0,2,0
LSU,LSU,LA06,-91.17857,30.41176,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,3.02,0.38,2.64,2.78,2025-05-07,2.0,2,0
NEW ROADS 5 NE,NEW ROADS 5 NE,LA06,-91.3672,30.7268,81.5,63.5,72.5,-1.25,85.0,63.0,0.0,-0.0,15.0,-3.0,1.32,0.33,0.99,1.31,2025-05-07,2.0,0,0
NORWOOD,NORWOOD,LA06,-91.1003,30.9678,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,2.52,0.29,2.23,2.39,2025-05-07,2.0,2,0
PONCHATOULA 4 E,PONCHATOULA 4 E,LA06,-90.36298,30.42971,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,3.59,0.37,3.2199999999999998,2.96,2025-05-07,2.0,2,0
PONCHATOULA 5.3 W,PONCHATOULA 5.3 W,LA06,-90.53245,30.43227,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,3.45,-999.0,1002.45,2.7,2025-05-07,2.0,2,0
PORT ALLEN,PORT ALLEN,LA06,-91.2183,30.4508,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,2.85,0.41,2.44,2.5,2025-05-07,2.0,2,0
SLIDELL,SLIDELL,LA06,-89.7697,30.265,82.5,68.0,75.25,3.1,85.0,66.0,0.0,-1.0,21.0,6.0,3.28,0.39,2.8899999999999997,2.59,2025-05-07,2.0,0,0
SLIDELL AP,SLIDELL AP,LA06,-89.82237,30.34355,78.0,62.5,70.25,-1.95,83.0,60.0,0.0,-1.0,11.0,-4.0,0.8,0.37,0.43000000000000005,0.8,2025-05-07,1.0,0,0
SLIDELL 4.4 E,SLIDELL 4.4 E,LA06,-89.70409,30.27505,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,0.78,0.39,0.39,0.78,2025-05-08,1.0,2,1
